FIELD1,FIELD2,FIELD3
AAM,1119,C
AAM,1120,A
ASM,1369,D
BLTDM,1817,B
BLTDM,1818,B
BSM,1980,G
BSM,1981,F
BTDM,2302,F
BTDM,2303,F
BTDM,2304,C
BTDM,2305,C
FMS,2455,K
FTDM,2778,E
FTDM,2779,E
FTDM,2780,F
FTDM,2781,F
HLM,2933,E
HLM,2934,D
HRM,3071,G
HTDM,3382,B
HTDM,3383,B
HTDM,3384,I
HTDM,3385,I
LDA,1198,
LDA,1199,
MCS,3540,J
MTDM,3855,I
MTDM,3856,I
MTDM,3857,J
MTDM,3858,J
PBM,4017,K
PFL,4144,J
PFN,4276,B
PHT,4410,B
PMK,4544,B
PMK,4545,K
QSRM,4682,F
RFSM,4809,I
SEM,5063,E
SEM,5064,F
STDM,5391,D
STDM,5392,D
STDM,5393,A
STDM,5394,A
STDM,5395,B
STDM,5396,B
TTDM,5755,I
TTDM,5756,I
TTDM,5757,J
TTDM,5758,J
ACT,1168,J
ACT,1169,I
ASM,1297,I
ASM,1298,J
BFS,1423,I
BFS,1424,H
BSM,1903,F
BTDM,2084,C
BTDM,2085,C
BTDM,2086,D
BTDM,2087,D
EIB,1777,G
EIB,1778,G
EIP,1943,G
ESB,2218,E
FCE,2285,A
FMS,2376,I
FTDM,2568,B
FTDM,2569,B
HLM,2850,I
HLM,2851,J
LDA,1066,
MCS,3465,B
MTDM,3649,D
MTDM,3650,D
PBM,3930,B
PFL,4066,I
PFN,4196,I
PHT,4334,A
PHT,4335,C
PMK,4469,C
PSE,3165,B
QSRM,4604,E
RMS,4853,A
STDM,5171,D
STDM,5172,D
TTDM,5543,E
TTDM,5544,E
TTDM,5545,F
TTDM,5546,F
ESB,2233,F
HTOR,2792,A
HTOR,2793,A
HTOR,2794,A
LDA,1111,
LDA,1112,
SEOR,3260,D
SEOR,3261,D
ASM,1319,I
BFS,1450,C
CMP,1489,B
CMP,1490,B
EIP,1998,F
EIP,1999,F
EIP,2000,F
FTDM,2622,C
FTDM,2623,C
HLM,2870,G
PBM,3952,B
SEM,5003,K
ADC,1176,C
ADC,1177,C
ADC,1178,C
ASM,1377,B
BMOR,1335,A
BTDM,2314,J
BTDM,2315,J
CSP,1613,A
CSP,1614,A
CSP,1615,A
EFB,1719,A
EFB,1720,D
EIB,1863,D
EIB,1864,C
EIP,2125,C
EIP,2126,A
